,办税服务厅代码,等候超时率,窗口日平均票号量,平均办理时间,平均等待时间,日均业务量,日均服务人次,占空比,日平均在线窗口数,前台人数,评价率,满意率
234,24401110002,0.23,5,1.1,1.98,112,25,10.2,3,11,1,1
235,24419260000,27.12,16,1.68,15.13,295,69,29.9,5,11,0,0
236,24419050000,2.95,15,2.14,5.89,380,136,32.3,9,16,0,0
237,24419320000,10.15,5,1.26,11.07,210,46,22.4,5,14,0,0
238,,38.96,10,6.75,34.57,208,196,10,14,40,43,43
239,24406048000,1.9,9,2.39,4.07,2281,563,40.2,50,129,93,93
240,24406042500,1.21,18,2.04,3.49,392,101,33.9,9,13,93,93
241,24452970001,17.31,3,0.12,19.46,121,3,1.3,1,4,92,92
242,24412020100,2.45,8,1.34,3.75,1850,379,19.9,39,85,26,26
243,24412020009,4.56,14,2.26,5.5,559,118,25.9,13,19,24,24
244,24412020008,0.04,14,0.76,1,536,124,10.2,8,14,0,0
245,24416210700,20,2,0.88,12.49,10,5,2.9,3,6,67,67
246,24416210400,18.18,8,0.89,15.75,10,11,1.7,2,6,73,73
247,24416210100,1.13,10,1.02,4.11,474,85,25.1,5,9,12,12
248,24416210600,19.51,2,1.22,16.97,10,7,2.5,2,4,63,63
249,24416210300,0,4,0,6.17,35,6,0,3,2,83,83
250,24404990800,5.98,4,1.38,7.28,152,36,7,7,19,14,14
251,24404990700,10.43,6,1.73,10.05,195,51,12.2,6,11,60,60
252,24453810500,1.51,15,1.63,4.12,521,259,13.5,17,23,1,1
253,24402290200,20.74,8,0.85,51.14,292,63,14.6,3,12,73,73
254,24401140300,0.27,3,0.84,2.45,51,17,4,2,6,1,1
255,24401140500,0.22,9,1.56,2.84,255,81,14.7,6,13,7,7
256,24401140700,0.15,3,1.53,1.66,102,30,6.8,5,12,1,1
257,24401140600,0,4,0.99,2.73,82,30,6.4,3,9,0,0
258,24401140100,30,0,0.02,13.07,123,15,0.5,10,6,3,3
259,24401140400,0.93,2,1.26,2.54,32,15,3.5,3,27,57,57
260,24418810100,19.28,10,1.74,17.09,377,111,23.6,5,37,3,3
261,24409021500,5.32,14,1.05,8.8,1670,355,25.5,17,6,86,86
262,24409021600,0.51,10,0.46,2.44,552,62,13.7,5,13,1,1
263,24419270000,7.5,9,2.15,8.18,270,110,18.5,6,130,0,0
264,24401030015,1.79,11,2.16,14.98,1200,519,13.7,37,33,0,0
265,24419310000,17.93,17,2.08,15.03,469,216,24.3,14,4,99,99
266,24452960001,13.82,4,0.36,12.41,103,7,3.5,2,42,50,50
267,,33.33,0,0.4,24.65,1,3,0.4,4,12,4,4
268,24407031100,43.14,16,0.95,23.65,984,113,24.3,8,28,2,2
269,24407031200,36.73,23,1.72,21.97,617,219,25.9,9,2,96,96
270,24414960004,0,1,0.13,0,51,4,0.6,1,19,0,0
271,24414279000,11.68,22,0.7,13.21,848,249,17.6,7,38,1,1
272,24419330000,2.82,17,1.3,6.94,729,326,29.3,10,19,0,0
273,24420370003,33.29,11,1.76,24.18,585,135,21.4,11,8,0,0
274,24419200000,2.78,9,2.32,4.3,99,57,11.6,6,33,0,0
275,24408020006,91.7,9,2.47,66.86,836,200,44.3,11,164,0,0
276,24401040007,17.29,12,2.72,22.16,1983,1222,17.8,62,18,99,99
277,24418820100,35.23,16,0.82,26.32,1054,190,36.5,7,3,48,48
278,24416230200,4.38,4,8.59,6.43,8,23,8,3,6,70,70
279,24416230800,21.35,3,2.04,25.54,18,47,3,5,3,83,83
280,24416230600,50,2,0,21.4,0,3,0,2,7,100,100
281,24408231000,0,0,0,0.46,5,1,0,1,13,0,0
282,24419060000,0.41,8,2.1,1.62,225,99,17.7,8,28,46,46
283,24453220100,1.41,11,1.68,4.46,438,116,20.6,10,22,52,52
284,24404040700,6.65,6,1.47,6.93,355,77,11.8,10,19,0,0
285,24404040800,0.83,7,1.75,5.34,355,82,12.9,10,34,0,0
286,24419110000,7.08,21,1.88,7.36,769,331,26.4,15,16,26,26
287,24417230100,35.14,8,1.12,17.22,285,42,30.4,4,24,99,99
288,24418230400,8.84,13,0.59,10.75,663,147,14.8,6,24,0,0
289,24417810100,1.79,9,1.03,5.19,523,99,17.6,7,15,49,49
290,24417210100,5.78,11,1.06,9.55,320,63,14.2,5,3,40,40
291,24415210000,20,2,0,17.17,0,5,0,4,8,100,100
292,24415210000,50,2,0,34.05,0,2,0,0,4,0,0
293,24415210000,0,2,0.05,1.28,1,4,0,3,3,17,17
294,24415210000,16.67,2,0,7.25,0,2,0,2,3,0,0
295,24415210000,0,1,0,6.98,0,1,0,2,6,0,0
296,24415210000,100,2,0,21.92,0,2,0,0,4,75,75
297,24415210000,25,1,0,14.55,0,4,0,4,17,0,0
298,24415230100,4.32,7,0.35,6.36,603,69,16,4,28,6,6
299,24406060600,13.4,7,2.02,13.61,251,62,53.7,3,44,33,33
300,24408030010,9.96,10,1.82,10.29,1081,250,24.3,24,15,54,54
301,24451221100,26.46,5,0.8,27.31,163,30,13.4,4,38,0,0
302,24404020008,23.46,11,0.99,16,832,191,17.2,13,30,0,0
303,24404020009,0,28,1.16,1.94,906,335,21.8,11,11,0,0
304,24419040000,4.83,6,2.7,8.73,174,64,29.4,7,19,1,1
305,24409225100,3.63,11,0.5,6.59,1302,168,19.5,10,9,61,61
306,24416010005,16.23,5,2.1,19.71,15,14,2.2,2,38,0,0
307,24404980900,0,5,0.82,9.78,135,135,0,0,34,2,2
308,24412040001,19.73,15,0.55,17.65,462,150,7.5,7,18,96,96
309,24406081400,9.36,12,1.37,8.51,93,37,12.2,2,18,92,92
310,24406081500,0.48,3,1.47,3.44,49,9,4.9,2,15,92,92
311,24406081300,0.72,4,2.51,3.61,71,32,10.2,3,36,85,85
312,24406081100,0,10,1.48,3.44,421,144,30.9,9,31,8,8
313,24412830100,3.06,14,1.55,5.43,436,165,24.5,10,16,3,3
314,24412830300,1.01,5,0.49,1.98,160,36,4.3,5,14,1,1
315,24412830400,2.03,5,1.06,5.54,125,33,6.9,4,13,89,89
316,24412830200,1.07,3,0.69,2.31,144,21,5,5,12,57,57
317,24412830500,0.5,10,0.66,5.03,400,55,19.6,4,31,92,92
318,24407840300,20.77,11,0.8,15.43,1340,181,30.4,10,13,0,0
319,24419030000,3.66,6,2.78,8.18,190,58,16.7,8,10,0,0
320,24408110900,7.96,10,0.83,8.42,172,38,12.1,4,32,0,0
321,24401120007,3.04,8,0.63,6.47,1123,185,12.8,12,9,1,1
322,24401120100,2.05,6,0.8,4.33,113,31,2.8,5,8,0,0
323,24401120007,0,0,0,5.25,29,1,0,1,3,39,39
